Band_code,Band_num,WL_code,WL_num,Pval_cat,nSIM,K_obs,K_pval,K_sim_mean,K_sim_SD,K_sim_SES,K_BM_pval,K_BM_mean,K_BM_SD,K_BM_SES,species,extra_y,Blomberg's K
band229_1523nm,band229,1523nm,1523,diff,1000,0.11283865651907708,0.002,0.03833767778199628,0.01471359705677316,5.063410289789436,9.99000999000999e-4,1.007756111975102,0.754881343454774,-1.1855074485751158,diff,0.15,0.11283865651907708
band230_1528nm,band230,1528nm,1528,diff,1000,0.1153543003196216,0.002,0.03931300199971038,0.01531566192653036,4.964937113699908,9.99000999000999e-4,1.0328916920387936,0.7863717552562816,-1.1667985092116426,diff,0.15,0.1153543003196216
band231_1533nm,band231,1533nm,1533,diff,1000,0.12027952211402948,0.002,0.03853409504397016,0.01483568313059596,5.510054801687822,9.99000999000999e-4,0.9776548172836326,0.707666975012244,-1.2115519381906563,diff,0.15,0.12027952211402948
band232_1538nm,band232,1538nm,1538,diff,1000,0.1226868297696507,0.001,0.03742411967785349,0.01374937327206411,6.201207022652692,9.99000999000999e-4,1.0168470055909806,0.7805472532682406,-1.1455554703157036,diff,0.15,0.1226868297696507
band233_1544nm,band233,1544nm,1544,diff,1000,0.12691359095917082,0.001,0.03808350455137054,0.01431975743545888,6.203323401822251,9.99000999000999e-4,0.988329109675167,0.7515984098704037,-1.1461114172188416,diff,0.15,0.12691359095917082
band234_1549nm,band234,1549nm,1549,diff,1000,0.129418663096078,0.001,0.0373472026431982,0.01390458438988222,6.621662170634622,9.99000999000999e-4,1.0032886794874587,0.7555154042178872,-1.1566541350616335,diff,0.15,0.129418663096078
band235_1554nm,band235,1554nm,1554,diff,1000,0.1319569061572837,0.001,0.03778442563819848,0.0137404132340396,6.853686196699562,9.99000999000999e-4,0.990827707896972,0.703774548297312,-1.2203777528153168,diff,0.15,0.1319569061572837
band236_1559nm,band236,1559nm,1559,diff,1000,0.134163239463531,0.001,0.03779673747124744,0.01367517494565117,7.046820415480607,9.99000999000999e-4,1.010696323325206,0.737152948620525,-1.1890789903261998,diff,0.15,0.134163239463531
band237_1564nm,band237,1564nm,1564,diff,1000,0.135984853631757,0.002,0.03797325287998133,0.01361177542915478,7.200500864997128,9.99000999000999e-4,1.0398610371302983,0.7974954023694282,-1.1333935980233198,diff,0.15,0.135984853631757
band238_1569nm,band238,1569nm,1569,diff,1000,0.13917558375241798,0.001,0.03721611343581874,0.01291942852356481,7.891948945777818,9.99000999000999e-4,1.0377307544895664,0.7519073801238725,-1.1950343812147668,diff,0.15,0.13917558375241798
band239_1574nm,band239,1574nm,1574,diff,1000,0.13906225465327338,0.001,0.03658609345994736,0.01299093662394608,7.888281204022852,9.99000999000999e-4,1.0225126779118947,0.7667885778532504,-1.1521434314162384,diff,0.15,0.13906225465327338
band240_1579nm,band240,1579nm,1579,diff,1000,0.14208109224585372,0.001,0.0370161762911753,0.01232851044071687,8.522109500567463,9.99000999000999e-4,1.0045455448469705,0.7438457914918433,-1.159466736877511,diff,0.15,0.14208109224585372
band241_1584nm,band241,1584nm,1584,diff,1000,0.1440907300551774,0.001,0.03773083468746831,0.01320991433296267,8.05152044796456,0.00299700299700299,1.027565948710104,0.8309984728899779,-1.063149027918727,diff,0.15,0.1440907300551774
band242_1589nm,band242,1589nm,1589,diff,1000,0.14617698283360164,0.001,0.03804197247843622,0.01267589400898124,8.530760061463802,9.99000999000999e-4,1.0327437383499585,0.7691912680861405,-1.15259596968939,diff,0.15,0.14617698283360164
band243_1594nm,band243,1594nm,1594,diff,1000,0.14688500250263797,0.001,0.03731589052397297,0.01304369920205589,8.400156296259512,0.00199800199800199,1.0230584959865217,0.7794002060529143,-1.1241637950303536,diff,0.15,0.14688500250263797
band244_1599nm,band244,1599nm,1599,diff,1000,0.14856775394818064,0.001,0.03707390967360716,0.01323415745827182,8.424702866511979,9.99000999000999e-4,1.0108421755594958,0.7798356452774642,-1.105713013803722,diff,0.15,0.14856775394818064
band245_1604nm,band245,1604nm,1604,diff,1000,0.1495497105584039,0.001,0.03661188301690065,0.01232583194226197,9.162694094040804,0.00199800199800199,1.0280842765083784,0.759022105113072,-1.157455836966828,diff,0.15,0.1495497105584039
band246_1609nm,band246,1609nm,1609,diff,1000,0.15161127929100118,0.001,0.03673657218629012,0.01218400806472938,9.428318373922751,9.99000999000999e-4,0.9797251679496564,0.7037067205553448,-1.1767883757101707,diff,0.15,0.15161127929100118
